interval,emotion_score,body_energy,hand_energy,face_energy,AU_AU01,AU_AU12,AU_AU26,shoulder_tension,head_tilt_deg,hands_to_face_px,emotion_smoothed,emotion_raw,sync_status,au_source,hands_near_face
0,0.0,0.04214412814428711,0.005604294949889145,0.00803939904582033,0.9872271572810275,0.3168681536824918,0.2352063291838077,0.0,-82.21439940016468,509.3555698350395,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
5,0.0,0.04182372511126065,0.027858212355021207,0.01038327580561183,0.960819355056763,0.3119146739731767,0.312256450590393,0.0,-77.90989175043924,231.06006001695812,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
10,0.0,0.03357369705836541,0.006454066593385879,0.010539688800847248,0.9965864401671375,0.3192391804601202,0.2831910763326796,0.0,-84.58161764494675,251.18946847402646,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
15,0.0,0.0540949836334406,0.008569850268891378,0.009291185951572146,0.9960525666544644,0.31593792609180316,0.28591404269367754,0.0,-78.75106654066278,267.53687867427413,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
20,0.0,0.06592270415661548,0.014311880565651828,0.010829078274502461,0.993252021851744,0.31722863254457967,0.31699493624010194,0.0,-86.28125264094245,237.46444697953774,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
25,0.0,0.04011832285130965,0.006208280680092497,0.008495086314378465,0.9619066168740541,0.32441227013169033,0.301806411910674,0.0,-87.98668393490678,218.30588973691218,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
30,0.0,0.05010327219123445,0.02827499935523317,0.00937719232394744,0.9944157653615887,0.31648033395712577,0.2773516913756074,0.0,-91.04605625109505,229.40671151915043,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
35,0.0,0.03658486744028982,0.01858443132334508,0.010498265017294622,0.9788223534318661,0.31369782881052316,0.4167771473291528,0.0,-88.34946114722177,166.44095269301428,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
40,0.0,0.05607099792246925,0.029582979243867775,0.012005974576503467,0.9538675209151584,0.321077043958976,0.34355404500108977,0.0,-90.67706359021001,245.45941428745073,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
45,0.0,0.02561436014241049,0.0027610127127263313,0.009926906263184302,0.9667745980600244,0.31952583614133884,0.3190762481336091,0.0,-89.45834911770775,403.03148295915264,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
50,0.0,0.02883367398665298,0.015569509995511635,0.011230732281370287,0.9187082786491592,0.3117026496319755,0.3110280481171155,0.0,-93.33313396370039,331.3231275280258,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
55,0.0,0.03239822287400342,0.010281489907620017,0.010571409195536577,0.8993970140469637,0.31169585205733097,0.2601984305989382,0.0,-95.72987611965617,352.19527350363387,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
60,0.0,0.03952586262779652,0.01539624804459857,0.01046866186636362,0.9939393706631657,0.315410699485033,0.3162785750980152,0.0,-90.12176234971848,269.6138479639217,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
65,0.0,0.04210921560110204,0.007054387443049578,0.012016347453091818,0.9812633788042884,0.3085467250382994,0.4505182817066842,0.0,-87.78041040150828,227.8851478075841,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
70,0.0,0.05974117856614944,0.016564194301835075,0.01644810160848263,0.9354810920675067,0.3298158522059089,0.2686371125845683,0.0,-97.48368296819896,263.6240594483049,Neutral / Calm,Neutral / Calm,Out of Sync,landmark_heuristic,False
